C100461	C64430
C190091	C20194
C100462	C16723
C100463	C16723
C100464	C81969
C100465	C81972
C100466	C81971
C100467	C100122
C100468	C100122
C100469	C100122
C10047	C61063
C100470	C100122
C100471	C64430
C102824	C28480
C102824	C26003
C100472	C74803
C74803	C49237
C100473	C100117
C100474	C100117
C100475	C100117
C100476	C100117
C100477	C100117
C100478	C100117
C100479	C100117
C10048	C61007
C1333	C360
C100480	C100117
C100481	C100117
C100482	C100117
C100483	C100117
C100484	C100117
C100485	C100117
C100486	C100117
C100487	C100117
C100488	C100117
C100489	C100117
C10049	C61063
C875	C292
C100490	C100117
C100491	C100117
C100492	C100117
C100493	C100117
C100494	C100117
C100495	C100117
C100496	C100117
C100497	C100117
C100498	C100117
C100499	C100117
C1005	C1934
C1934	C2122
C40551	C19986
C17557	C41515
C17932	C21128
C40738	C16399
C13258	C33089
C274	C1909
C53622	C17561
C173234	C168549
C10050	C61063
C562	C1594
C100500	C100117
C100501	C100117
C100502	C100117
C100503	C100117
C100504	C100117
C100505	C100117
C100506	C100117
C100507	C100117
C100508	C100117
C100509	C100117
C10051	C61063
C1258	C2153
C1258	C511
C100510	C100117
C100511	C100117
C100512	C100117
C100513	C100117
C100514	C100117
C100515	C100117
C100516	C100117
C100517	C100117
C100518	C100117
C100519	C100117
C10052	C61063
C100520	C100117
C100521	C100117
C100522	C100117
C100523	C100117
C100524	C100117
C100525	C100117
C100526	C100117
C100527	C100117
C100528	C100117
C100529	C100117
C10053	C63358
C63358	C62634
C100530	C100117
C100531	C100117
C100532	C100117
C100533	C100117
C100534	C100117
C100535	C100117
C100536	C100117
C100537	C100117
C100538	C100117
C100539	C100117
C10054	C61063
C100540	C100117
C100541	C100117
C100542	C100118
C100543	C100118
C100544	C100118
C100545	C100118
C100546	C100118
C100547	C100118
C100548	C100118
C100549	C100118
C10055	C61063
C510	C1444
C100550	C100118
C100551	C100118
C100552	C100118
C100553	C100118
C100554	C100118
C100555	C100118
C100556	C100118
C100557	C100118
C100558	C100118
C100559	C100118
C10056	C61063
C422	C521
C422	C267
C100560	C100118
C100561	C100118
C100562	C100118
C100563	C100118
C100564	C100118
C100565	C100118
C100566	C100118
C100567	C100118
C100568	C100118
C100569	C100118
C10057	C61063
C1098	C804
C100570	C100118
C100571	C100118
C100572	C100118
C100573	C100118
C100574	C100118
C100575	C100118
C100576	C100118
C100577	C100118
C100578	C100118
C100579	C100118
C10058	C63522
C63522	C62634
C100580	C100118
C100581	C100118
C100582	C100118
C100583	C100118
C100584	C100118
C100585	C100118
C100586	C100118
C100587	C100119
C100588	C100119
C100589	C100119
C10059	C61063
C913	C1941
C100590	C100119
C100591	C100119
C100592	C100119
C100593	C100119
C100594	C100119
C100595	C100119
C100596	C100119
C100597	C100119
C100598	C100119
C100599	C100119
C1006	C2139
C10060	C61063
C100600	C100119
C100601	C100119
C100602	C100119
C100603	C100119
C100604	C100119
C100605	C100119
C100606	C100119
C100607	C100119
C100608	C100119
C100609	C100119
C10061	C61063
C100610	C100119
C100611	C100119
C100612	C100119
C100613	C100119
C100614	C100119
C100615	C100119
C100616	C100119
C100617	C100119
C100618	C100119
C100619	C100119
C10062	C61063
C100620	C100119
C100621	C100119
C100622	C100120
C100623	C100120
C100624	C100120
C100625	C100120
C100626	C100120
C100627	C100120
C100628	C100120
C100629	C100120
C10063	C61063
C486	C478
C100630	C100120
C100631	C100120
C100632	C100120
C100633	C100120
C100634	C100120
C100635	C100120
C100636	C100120
C100637	C100120
C100638	C100120
C100639	C100120
C10064	C61063
C100640	C100120
C100641	C100120
C100642	C100120
C100643	C100120
C100644	C100120
C100645	C100120
C100646	C100120
C100647	C100120
C100648	C100120
C100649	C100120
C10065	C61007
C504	C1557
C100650	C100120
C100651	C100120
C100652	C100120
C100653	C100120
C100654	C100120
C100655	C100120
C100656	C100120
C100657	C100120
C100658	C100120
C100659	C100120
C10066	C61063
C495	C584
C100660	C100120
C100661	C100120
C100662	C100120
C100663	C100120
C100664	C100120
C100665	C100120
C100666	C100120
C100667	C100120
C100668	C100120
C100669	C100120
C10067	C61063
C845	C699
C100670	C100120
C100671	C100120
C100672	C100120
C100673	C100120
C100674	C100120
C100675	C100120
C100676	C100120
C100677	C100120
C100678	C100120
C100679	C100120
C10068	C61063
C711	C62799
C100680	C100120
C100681	C100120
C100682	C100120
C100683	C100120
C100684	C100120
C100685	C100120
C100686	C100120
C100687	C100120
C100688	C100120
C100689	C100120
C10069	C61063
C100690	C100120
C100691	C100120
C100692	C100120
C100693	C100120
C100694	C100120
C100695	C100120
C100696	C100120
C100697	C100120
C100698	C100120
C100699	C100120
C1007	C1935
C1935	C78281
C10070	C63358
C100700	C100120
C100701	C100120
C100702	C100120
C100703	C100120
C100704	C100120
C100705	C100120
C100706	C100120
C100707	C100120
C100708	C100120
C100709	C100120
C10071	C63442
C10071	C63356
C63356	C186719
C100710	C100120
C100711	C100120
C100712	C100120
C100713	C100120
C100714	C100120
C100715	C100120
C100716	C100120
C100717	C100120
C100718	C100120
C100719	C100120
C10072	C61063
C100720	C100120
C100721	C100120
C100722	C100120
C100723	C100120
C100724	C100120
C100725	C100121
C100726	C100121
C100727	C100121
C100728	C100121
C100729	C100121
C10073	C61007
C100730	C100121
C100731	C100121
C100732	C100121
C100733	C100121
C100734	C100121
C100735	C100121
C100736	C100121
C100737	C100121
C100738	C100121
C100739	C100121
C10074	C61007
C100740	C100121
C100741	C100121
C100742	C100121
C100743	C100121
C100744	C100121
C100745	C100121
C100746	C100121
C100747	C100121
C100748	C100121
C100749	C100121
C10075	C61063
C100750	C100121
C100751	C100121
C100752	C100121
C100753	C100121
C100754	C100121
C100755	C100121
C100756	C100121
C100757	C100121
C100758	C62164
C62164	C45788
C192234	C192233
C71148	C66830
C71148	C77526
C100759	C91105
C91105	C20993
C10076	C61063
C100760	C91105
C100761	C118969
C118969	C20993
C118971	C118970
C100762	C91105
C100763	C91105
C100764	C91105
C100765	C91105
C100766	C91105
C100767	C118969
C100768	C118969
C100769	C91105
C10077	C61063
C610	C2141
C100771	C91105
C100772	C91105
C100773	C91105
C100774	C91105
C100775	C20078
C20078	C91105
C100776	C91105
C100777	C91105
C100778	C118969
C100779	C91105
C10078	C61063
C100780	C100123
C100781	C100123
C100782	C100123
C100783	C100123
C100784	C100123
C100785	C100123
C100786	C100123
C100787	C100123
C100788	C100123
C100789	C100123
C10079	C61063
C773	C902
C100790	C100123
C100791	C100123
C100792	C100123
C100793	C100123
C100794	C100123
C100795	C100123
C100796	C100123
C100797	C100123
C100798	C100123
C100799	C100123
C1008	C2170
C1008	C1557
C1557	C272
C2170	C471
C10080	C61063
C100800	C100123
C100801	C100123
C100802	C100123
C100803	C100123
C100804	C100123
C100805	C71397
C100805	C161421
C161421	C19811
C161421	C71384
C71397	C19811
C71397	C71388
C83393	C25284
C100806	C161421
C100806	C71385
C71385	C71388
C100808	C21480
C21480	C41256
C100809	C25204
C25204	C21480
C168869	C198679
C168870	C25683
C173235	C168549
C178109	C178116
C178115	C178096
C186332	C186339
C10081	C61063
C100810	C25168
C25168	C199001
C100811	C100128
C100812	C100128
C100813	C100171
C100814	C100171
C100815	C100171
C100816	C100171
C100817	C100171
C100818	C100171
C100819	C100171
C10082	C61063
C100820	C100171
C100821	C100171
C100822	C100171
C100823	C100171
C100824	C100171
C100825	C100171
C100826	C100171
C100827	C100171
C100828	C100171
C100829	C100171
C10083	C63358
C100830	C100171
C100831	C100171
C100832	C100171
C100833	C100171
C100834	C100171
C100835	C100171
C100836	C100171
C100837	C100171
C100838	C100171
C100839	C100171
C10084	C61063
C100840	C100171
C100841	C100171
C100842	C100171
C100843	C100171
C100844	C100171
C100845	C100171
C100846	C100171
C100847	C100171
C100848	C100171
C100849	C100124
C10085	C61063
C100850	C100124
C100851	C100124
C100852	C100124
C100853	C100124
C100854	C100124
C100855	C100124
C100856	C100124
C100857	C100124
C100858	C100124
C100859	C100124
C10086	C61063
C100860	C100124
C100861	C100124
C100862	C100124
C100863	C100124
C100864	C100124
C100865	C100124
C100866	C100124
C100867	C100124
C100868	C100124
C100869	C100124
C10087	C61063
C100870	C100125
C100871	C100125
C100872	C100125
C100873	C100125
C100874	C100125
C100875	C100125
C100876	C100125
C100877	C100125
C100878	C100125
C100879	C100125
C10088	C61063
C100880	C100125
C100881	C100125
C100882	C100125
C100883	C100125
C100884	C100125
C100885	C100125
C100886	C100125
C100887	C100125
C100888	C100125
C100889	C100125
C10089	C61063
C560	C2150
C560	C272
C100890	C100125
C100891	C100125
C100892	C100125
C100893	C100125
C100894	C100125
C100895	C100125
C100896	C70699
C70699	C19157
C78734	C66830
C100897	C100900
C100900	C67442
C71620	C66830
C71620	C77526
C100898	C100900
C100899	C67442
C67442	C48207
C1009	C292
C292	C1590
C10090	C61063
C85494	C66830
C85494	C77526
C100901	C100126
C100902	C100126
C100903	C100126
C100904	C100126
C100905	C100126
C100906	C100126
C100907	C100126
C100908	C100126
C100909	C100126
C10091	C61063
C100910	C100126
C100911	C100126
C100912	C100126
C100913	C100126
C100914	C100126
C100915	C100126
C100916	C100126
C100917	C100126
C100918	C100126
C100919	C100126
C10092	C61063
C100920	C100126
C100921	C100126
C100922	C100126
C100923	C100126
C100924	C100126
C100925	C100126
C100926	C100126
C100927	C100126
C100928	C100126
C100929	C100126
C10093	C61063
C100930	C100126
C100931	C100126
C100932	C100126
C100933	C100126
C100934	C100126
C100935	C100126
C100936	C100126
C100937	C100126
C100938	C100126
C100939	C100126
C10094	C61063
C100940	C100126
C100941	C100126
C100942	C100126
C100943	C100126
C100944	C100126
C100945	C19332
C19332	C171087
C49670	C67332
C120532	C77526
C120533	C77526
C191385	C191200
C191402	C191385
C66741	C66830
C66741	C77526
C67153	C66830
C67153	C77526
C100946	C172255
C172255	C64265
C172255	C171087
C100947	C172255
C100948	C172255
C100949	C100172
C10095	C61063
C100950	C100172
C100951	C100172
C100952	C100172
C100953	C100172
C100954	C100172
C100955	C100111
C100956	C100111
C100957	C100111
C100958	C100112
C100959	C100112
C10096	C61063
C100960	C100112
C100961	C100112
C100962	C100112
C100963	C100112
C100964	C100112
C100965	C100112
C100966	C100112
C100967	C100112
C100968	C100112
C100969	C100112
C10097	C61063
C100970	C100112
C100971	C100112
C100972	C100112
C100973	C100112
C100974	C100112
C100975	C100112
C100976	C100113
C100977	C100113
C100978	C100113
C100979	C100113
C10098	C61063
C240	C582
C981	C2083
C981	C1557
C100980	C100113
C100981	C100113
C100982	C100113
C100983	C100113
C100984	C100113
C100985	C100113
C100986	C100113
C100987	C100113
C100988	C100113
C100989	C100113
C10099	C61063
C100990	C100113
C100991	C100113
C100992	C100113
C100993	C100113
C100994	C100113
C100995	C100113
C100996	C100113
C100997	C100113
C100998	C100113
C100999	C100113
C1010	C29750
C29750	C78275
C10100	C63358
C101000	C100113
C101001	C100113
C101002	C100113
C101003	C100113
C101004	C100113
C101005	C100113
C101006	C100113
C101007	C100113
C101008	C100113
C101009	C100113
C10101	C61063
C101010	C100113
C101011	C100113
C101012	C100113
C101013	C100115
C101014	C100113
C101015	C100113
C101016	C82037
C82037	C64430
C21580	C28533
C101017	C49237
C101018	C100117
C101019	C100119
C10102	C61063
C101020	C100119
C101021	C100124
C101022	C27222
C27222	C26693
C99147	C90259
C101023	C27222
C101024	C98827
C98827	C84790
C12378	C12919
C12736	C13018
C101025	C98828
C98828	C84790
C101026	C98828
C101027	C98828
C101028	C99232
C99232	C98996
C99232	C35755
C118466	C90259
